sentence,pseudo_that,context,embedded_clause,matrix_verb_to_cc,verb,verb_in_text,embedded_clause_n,comp_type,context_verb,context_verb_n,embedded_n_sum,verb_sum
"Niagara @-@ based cookbook author and food e @-@ magazine publisher Lynn Ogryzlo visited the chip trucks in August 2012 and stated "" I was blown away by Sarnia , "" not only by the city 's waterfront , where the chip trucks are located , but also by the chip trucks themselves.","Niagara @-@ based cookbook author and food e @-@ magazine publisher Lynn Ogryzlo visited the chip trucks in August 2012 and stated "" I was blown away by Sarnia , "" not only by the city 's waterfront , where the chip trucks are located , but also by the chip trucks themselves.",Niagara @-@ based cookbook author and food e @-@ magazine publisher Lynn Ogryzlo visited the chip trucks in August 2012 and,""" I was blown away by Sarnia , "" not only by the city 's waterfront , where the chip trucks are located , but also by the chip trucks themselves.",0,state,stated,"Niagara @-@ based cookbook author and food e @ - @ magazine publisher Lynn Ogryzlo visited the chip trucks in August 2012 and stated "" I was blown away",none,Niagara @-@ based cookbook author and food e @-@ magazine publisher Lynn Ogryzlo visited the chip trucks in August 2012 and stated,"Niagara @-@ based cookbook author and food e @-@ magazine publisher Lynn Ogryzlo visited the chip trucks in August 2012 and stated "" I was blown away by Sarnia",46.105308897211216,10.537537574768066
"An official statement from DePaul strongly defended the decision to deny Finkelstein tenure , stated that outside influence played no role in the decision.","An official statement from DePaul strongly defended the decision to deny Finkelstein tenure , stated outside influence played no role in the decision.","An official statement from DePaul strongly defended the decision to deny Finkelstein tenure ,",outside influence played no role in the decision.,0,state,stated,"An official statement from DePaul strongly defended the decision to deny Finkelstein tenure , stated outside influence played no role",that,"An official statement from DePaul strongly defended the decision to deny Finkelstein tenure , stated","An official statement from DePaul strongly defended the decision to deny Finkelstein tenure , stated outside influence played no role in the",47.24389827251434,14.732865333557129
"She considered the day of her liberation as the most horrible day of her life , as she realized that she was alone , her parents and siblings gone.","She considered the day of her liberation as the most horrible day of her life , as she realized she was alone , her parents and siblings gone.","She considered the day of her liberation as the most horrible day of her life , as she","she was alone , her parents and siblings gone.",0,realize,realized,"She considered the day of her liberation as the most horrible day of her life , as she realized she was alone , her",that,"She considered the day of her liberation as the most horrible day of her life , as she realized","She considered the day of her liberation as the most horrible day of her life , as she realized she was alone , her parents and",32.823185324668884,7.381071090698242
"Of his parents , Finkelstein has recalled that "" they saw the world through the prism of the Nazi Holocaust.","Of his parents , Finkelstein has recalled "" they saw the world through the prism of the Nazi Holocaust.","Of his parents , Finkelstein has",""" they saw the world through the prism of the Nazi Holocaust.",0,recall,recalled,"Of his parents , Finkelstein has recalled "" they saw the world",that,"Of his parents , Finkelstein has recalled","Of his parents , Finkelstein has recalled "" they saw the world through the",42.66608810424805,10.971117973327637
"They supported the Soviet Union 's approval of the creation of the State of Israel , as enunciated by Gromyko , who stated that the Jews had earned the right to a state , but thought that Israel had sold its soul to the West and "" refused to have any truck with it "".","They supported the Soviet Union 's approval of the creation of the State of Israel , as enunciated by Gromyko , who stated the Jews had earned the right to a state , but thought that Israel had sold its soul to the West and "" refused to have any truck with it "".","They supported the Soviet Union 's approval of the creation of the State of Israel , as enunciated by Gromyko , who","the Jews had earned the right to a state , but thought that Israel had sold its soul to the West and "" refused to have any truck with it "".",0,state,stated,"They supported the Soviet Union 's approval of the creation of the State of Israel , as enunciated by Gromyko , who stated the Jews had earned the",that,"They supported the Soviet Union 's approval of the creation of the State of Israel , as enunciated by Gromyko , who stated","They supported the Soviet Union 's approval of the creation of the State of Israel , as enunciated by Gromyko , who stated the Jews had earned the right to",30.123522717505693,5.87028169631958
"They supported the Soviet Union 's approval of the creation of the State of Israel , as enunciated by Gromyko , who stated that the Jews had earned the right to a state , but thought that Israel had sold its soul to the West and "" refused to have any truck with it "".","They supported the Soviet Union 's approval of the creation of the State of Israel , as enunciated by Gromyko , who stated that the Jews had earned the right to a state , but thought Israel had sold its soul to the West and "" refused to have any truck with it "".","They supported the Soviet Union 's approval of the creation of the State of Israel , as enunciated by Gromyko , who stated that the Jews had earned the right to a state , but","Israel had sold its soul to the West and "" refused to have any truck with it "".",0,think,thought,"They supported the Soviet Union 's approval of the creation of the State of Israel , as enunciated by Gromyko , who stated that the Jews had earned the right to a state , but thought Israel had sold its soul",that,"They supported the Soviet Union 's approval of the creation of the State of Israel , as enunciated by Gromyko , who stated that the Jews had earned the right to a state , but thought","They supported the Soviet Union 's approval of the creation of the State of Israel , as enunciated by Gromyko , who stated that the Jews had earned the right to a state , but thought Israel had sold its soul to the",31.26322866976261,11.547568321228027
"Citing linguist and political activist Noam Chomsky as an example , Finkelstein notes that it is "" possible to unite exacting scholarly rigor with scathing moral outrage , "" and supporters and detractors alike have remarked on the polemical style of Finkelstein 's work.","Citing linguist and political activist Noam Chomsky as an example , Finkelstein notes it is "" possible to unite exacting scholarly rigor with scathing moral outrage , "" and supporters and detractors alike have remarked on the polemical style of Finkelstein 's work.","Citing linguist and political activist Noam Chomsky as an example , Finkelstein","it is "" possible to unite exacting scholarly rigor with scathing moral outrage , "" and supporters and detractors alike have remarked on the polemical style of Finkelstein 's work.",0,note,notes,"Citing linguist and political activist Noam Chomsky as an example , Finkelstein notes it is "" possible to",that,"Citing linguist and political activist Noam Chomsky as an example , Finkelstein notes","Citing linguist and political activist Noam Chomsky as an example , Finkelstein notes it is "" possible to unite exacting",62.030028343200684,5.8542304039001465
"Demographic studies had tended to assert that the Arab population of Ottoman @-@ controlled Palestine , a 94 % majority at the turn of the century , had dwindled towards parity due to massive Zionist immigration.","Demographic studies had tended to assert the Arab population of Ottoman @-@ controlled Palestine , a 94 % majority at the turn of the century , had dwindled towards parity due to massive Zionist immigration.",Demographic studies had tended to,"the Arab population of Ottoman @-@ controlled Palestine , a 94 % majority at the turn of the century , had dwindled towards parity due to massive Zionist immigration.",0,assert,assert,Demographic studies had tended to assert the Arab population of Ottoman,that,Demographic studies had tended to assert,Demographic studies had tended to assert the Arab population of Ottoman @-@ controlled,88.01659190282226,11.876479148864746
Peters radically challenged this picture by arguing that a substantial part of the Palestinian people were descended from immigrants from other Arab countries from the early 19th century onwards.,Peters radically challenged this picture by arguing a substantial part of the Palestinian people were descended from immigrants from other Arab countries from the early 19th century onwards.,Peters radically challenged this picture by,a substantial part of the Palestinian people were descended from immigrants from other Arab countries from the early 19th century onwards.,0,argue,arguing,Peters radically challenged this picture by arguing a substantial part of the,that,Peters radically challenged this picture by arguing,Peters radically challenged this picture by arguing a substantial part of the Palestinian people,41.551385812461376,5.4027180671691895
"Finkelstein asserted that the book was a "" monumental hoax "".","Finkelstein asserted the book was a "" monumental hoax "".",Finkelstein,"the book was a "" monumental hoax "".",0,assert,asserted,"Finkelstein asserted the book was a """,that,Finkelstein asserted,"Finkelstein asserted the book was a "" monumental hoax",52.05683159828186,14.605268478393555
